area_name,area_code,region_name,country_name,named_site_count,unnamed_site_count,people_housed_reported,date_last_public,source_title,source_url,notes
Epping Forest,E07000072,East of England,England,2,0,,2025-07-30,Open joint letter to the Home Secretary,https://www.eppingforestdc.gov.uk/open-joint-letter-to-the-home-secretary/,Current named-site evidence.
Wakefield,E08000036,Yorkshire and The Humber,England,1,0,,2026-05-22,Wakefield Council statement on future of Cedar Court Hotel,https://www.wakefield.gov.uk/your-district/wakefield-council-statement-on-future-of-cedar-court-hotel,Named site publicly confirmed.
Spelthorne,E07000213,South East,England,1,0,,2025-08-13,Spelthorne Borough Council calls for constructive action on Stanwell Hotel use,https://www.spelthorne.gov.uk/news/2025/spelthorne-borough-council-calls-constructive-action-stanwell-hotel-use,Named site publicly confirmed.
West Northamptonshire,E06000062,East Midlands,England,3,0,,2025-09-01,Council takes first steps towards planning action over asylum hotels,https://www.westnorthants.gov.uk/news/council-takes-first-steps-towards-planning-action-over-asylum-hotels,"Council statement confirms three hotels in use and does not name them. The three names come from press reporting, not from this source."
East Lindsey,,East Midlands,England,0,1,,2025-08-20,East Lindsey statement on hotel use for asylum contingency accommodation,https://www.e-lindsey.gov.uk/article/27439/Response-to-Home-Office-announcement-that-it-will-use-a-hotel-in-the-district-for-asylum-contingency-accommodation,Public hotel count without names.
Perth and Kinross,S12000048,Scotland,Scotland,0,2,191,2026-08-03,Perth and Kinross Council statement on people seeking asylum,https://www.pkc.gov.uk/article/24758/Asylum-seekers,Two hotels confirmed by the council without names. The reported headcount is NOT from this source and is pending verification.
