site_id,site_name,area_name,area_code,region_name,country_name,status,evidence_class,confidence,people_housed_reported,date_first_public,date_last_public,source_title,source_url,notes
bell-hotel-epping,Bell Hotel,Epping Forest,E07000072,East of England,England,current,named_current,high,,2025-07-30,2025-07-30,Open joint letter to the Home Secretary,https://www.eppingforestdc.gov.uk/open-joint-letter-to-the-home-secretary/,Publicly named by council in legal and public statements
phoenix-hotel-north-weald,Phoenix Hotel,Epping Forest,E07000072,East of England,England,current,named_current,high,,2025-07-30,2025-07-30,Open joint letter to the Home Secretary,https://www.eppingforestdc.gov.uk/open-joint-letter-to-the-home-secretary/,Publicly named by council in legal and public statements
cedar-court-wakefield,Cedar Court Hotel,Wakefield,E08000036,Yorkshire and The Humber,England,current,named_current,high,,2026-05-22,2026-05-22,Wakefield Council statement on future of Cedar Court Hotel,https://www.wakefield.gov.uk/your-district/wakefield-council-statement-on-future-of-cedar-court-hotel,Home Office use confirmed in council statement
stanwell-hotel-spelthorne,Stanwell Hotel,Spelthorne,E07000213,South East,England,current,named_current,high,,2025-08-13,2025-08-13,Spelthorne Borough Council calls for constructive action on Stanwell Hotel use,https://www.spelthorne.gov.uk/news/2025/spelthorne-borough-council-calls-constructive-action-stanwell-hotel-use,Publicly named current site
belvoir-hotel-rushcliffe,Belvoir Hotel,Rushcliffe,E07000174,East Midlands,England,historical,named_historical,medium,,2023-04-05,2023-04-05,Rushcliffe FOI publication,https://www.whatdotheyknow.com/request/asylum_seekers_housed_in_rushcli_2,Historic named-site evidence from FOI publication
quality-hotel-coventry,Quality Hotel,Coventry,E08000026,West Midlands,England,historical,named_historical,medium,,2024-06-03,2024-06-03,Coventry FOI publication on asylum seeker hotels,https://www.whatdotheyknow.com/request/asylum_seekers_hotels_2#incoming-2663596,FOI says site no longer in use from 2024-02
allesley-hotel-coventry,Allesley Hotel,Coventry,E08000026,West Midlands,England,historical,named_historical,medium,,2024-06-03,2024-06-03,Coventry FOI publication on asylum seeker hotels,https://www.whatdotheyknow.com/request/asylum_seekers_hotels_2#incoming-2663596,FOI says site no longer in use from 2022-01
novotel-hotel-coventry,Novotel,Coventry,E08000026,West Midlands,England,historical,named_historical,medium,,2024-06-03,2024-06-03,Coventry FOI publication on asylum seeker hotels,https://www.whatdotheyknow.com/request/asylum_seekers_hotels_2#incoming-2663596,FOI says site no longer in use from 2020-10
copthorne-gatwick,Copthorne Hotel,Gatwick area,,South East,England,unknown,parliamentary_reference,medium,,2026-02-05,2026-02-05,Written Parliamentary Question referencing Copthorne Hotel,https://questions-statements.parliament.uk/written-questions/detail/2026-02-05/28968,Named in parliamentary material but not treated as a fully confirmed current site without stronger corroboration
